Vísitala neysluverðs og breytingar, grunnur 1988=100;;;;;;;;;;;;
;;;;;;;;;;;;
Mánuður;Vísitala neysluverðs Vísitala;Vísitala neysluverðs Mánaðarbreyting, %;Vísitala neysluverðs Ársbreyting, %;Vísitala neysluverðs Ársbreyting síðasta mánuð, %;Vísitala neysluverðs Ársbreyting síðustu 3 mánuði, %;Vísitala neysluverðs Ársbreyting síðustu 6 mánuði, %;Vísitala neysluverðs án húsnæðis Vísitala;Vísitala neysluverðs án húsnæðis Mánaðarbreyting, %;Vísitala neysluverðs án húsnæðis Ársbreyting, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðasta mánuð, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðustu 3 mánuði, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðustu 6 mánuði, %
1988M05;100.0;.;.;.;.;.;100.0;.;.;.;.;.
1988M06;103.4;3.40;.;49.4;.;.;103.8;3.80;.;56.4;.;.
1988M07;107.0;3.48;.;50.8;.;.;106.5;2.60;.;36.1;.;.
1988M08;109.3;2.15;.;29.1;42.7;.;108.7;2.07;.;27.8;39.6;.
1988M09;110.0;0.64;.;8.0;28.1;.;109.6;0.83;.;10.4;24.3;.
1988M10;110.4;0.36;.;4.5;13.3;.;110.1;0.46;.;5.6;14.2;.
1988M11;110.5;0.09;.;1.1;4.5;22.1;110.4;0.27;.;3.3;6.4;21.9
1988M12;110.7;0.18;.;2.2;2.6;14.6;110.9;0.45;.;5.6;4.8;14.1
1989M01;112.6;1.72;.;22.7;8.2;10.7;113.3;2.16;.;29.3;12.1;13.2
1989M02;114.2;1.42;.;18.4;14.1;9.2;114.8;1.32;.;17.1;16.9;11.5
1989M03;117.4;2.80;.;39.3;26.5;13.9;118.1;2.87;.;40.5;28.6;16.1
1989M04;119.9;2.13;.;28.8;28.6;18.0;120.6;2.12;.;28.6;28.4;20.0
1989M05;122.3;2.00;22.3;26.8;31.5;22.5;123.1;2.07;23.1;27.9;32.2;24.3
1989M06;125.9;2.94;21.8;41.6;32.3;29.3;126.9;3.09;22.3;44.0;33.3;30.9
1989M07;126.8;0.71;18.5;8.9;25.1;26.8;127.9;0.79;20.1;9.9;26.5;27.4
1989M08;128.5;1.34;17.6;17.3;21.9;26.6;130.1;1.72;19.7;22.7;24.8;28.4
1989M09;131.1;2.02;19.2;27.2;17.6;24.7;132.9;2.15;21.3;29.1;20.3;26.6
1989M10;133.7;1.98;21.1;26.6;23.6;24.3;135.0;1.58;22.6;20.7;24.1;25.3
1989M11;135.7;1.50;22.8;19.5;24.4;23.1;136.8;1.33;23.9;17.2;22.2;23.5
1989M12;138.6;2.14;25.2;28.9;24.9;21.2;139.8;2.19;26.1;29.7;22.4;21.4
1990M01;139.3;0.51;23.7;6.2;17.8;20.7;140.2;0.29;23.7;3.5;16.3;20.2
1990M02;141.5;1.58;23.9;20.7;18.2;21.3;141.8;1.14;23.5;14.6;15.4;18.8
1990M03;142.7;0.85;21.6;10.7;12.4;18.5;142.8;0.71;20.9;8.8;8.9;15.5
1990M04;143.1;0.28;19.3;3.4;11.4;14.6;143.4;0.42;18.9;5.2;9.4;12.8
1990M05;144.4;0.91;18.1;11.5;8.5;13.2;145.0;1.12;17.8;14.2;9.3;12.3
1990M06;145.4;0.69;15.5;8.6;7.8;10.1;146.1;0.76;15.1;9.5;9.6;9.2
1990M07;146.4;0.69;15.5;8.6;9.5;10.5;147.2;0.75;15.1;9.4;11.0;10.2
1990M08;146.8;0.27;14.2;3.3;6.8;7.6;148.4;0.82;14.1;10.2;9.7;9.5
1990M09;146.8;0.00;12.0;0.0;3.9;5.8;148.3;-0.07;11.6;-0.8;6.2;7.9
1990M10;147.2;0.27;10.1;3.3;2.2;5.8;149.0;0.47;10.4;5.8;5.0;8.0
1990M11;148.2;0.68;9.2;8.5;3.9;5.3;150.3;0.87;9.9;11.0;5.2;7.4
1990M12;148.6;0.27;7.2;3.3;5.0;4.5;150.7;0.27;7.8;3.2;6.6;6.4
1991M01;149.5;0.61;7.3;7.5;6.4;4.3;151.7;0.66;8.2;8.3;7.4;6.2
1991M02;150.0;0.33;6.0;4.1;4.9;4.4;152.2;0.33;7.3;4.0;5.2;5.2
1991M03;150.3;0.20;5.3;2.4;4.7;4.8;152.8;0.39;7.0;4.8;5.7;6.2
1991M04;151.0;0.47;5.5;5.7;4.1;5.2;153.2;0.26;6.8;3.2;4.0;5.7
1991M05;152.8;1.19;5.8;15.3;7.7;6.3;155.0;1.17;6.9;15.0;7.6;6.4
1991M06;154.9;1.37;6.5;17.8;12.8;8.7;156.3;0.84;7.0;10.5;9.5;7.6
1991M07;156.0;0.71;6.6;8.9;13.9;8.9;157.1;0.51;6.7;6.3;10.6;7.2
1991M08;157.2;0.77;7.1;9.6;12.0;9.8;158.2;0.70;6.6;8.7;8.5;8.0
1991M09;158.1;0.57;7.7;7.1;8.5;10.6;159.1;0.57;7.3;7.0;7.4;8.4
1991M10;159.3;0.76;8.2;9.5;8.7;11.3;160.4;0.82;7.7;10.3;8.7;9.6
1991M11;160.0;0.44;8.0;5.4;7.3;9.6;161.1;0.44;7.2;5.4;7.5;8.0
1991M12;159.8;-0.12;7.5;-1.5;4.4;6.4;161.0;-0.06;6.8;-0.7;4.9;6.1
1992M01;160.2;0.25;7.2;3.0;2.3;5.5;161.5;0.31;6.5;3.8;2.8;5.7
1992M02;160.4;0.12;6.9;1.5;1.0;4.1;161.8;0.19;6.3;2.3;1.7;4.6
1992M03;160.6;0.12;6.9;1.5;2.0;3.2;162.2;0.25;6.2;3.0;3.0;3.9
1992M04;160.6;0.00;6.4;0.0;1.0;1.6;162.3;0.06;5.9;0.7;2.0;2.4
1992M05;160.5;-0.06;5.0;-0.7;0.2;0.6;162.6;0.18;4.9;2.2;2.0;1.9
1992M06;161.1;0.37;4.0;4.6;1.3;1.6;163.3;0.43;4.5;5.3;2.7;2.9
1992M07;161.4;0.19;3.5;2.3;2.0;1.5;163.7;0.24;4.2;3.0;3.5;2.7
1992M08;161.4;0.00;2.7;0.0;2.3;1.3;163.8;0.06;3.5;0.7;3.0;2.5
1992M09;161.3;-0.06;2.0;-0.7;0.5;0.9;163.8;0.00;3.0;0.0;1.2;2.0
1992M10;161.4;0.06;1.3;0.7;0.0;1.0;163.9;0.06;2.2;0.7;0.5;2.0
1992M11;161.4;0.00;0.9;0.0;0.0;1.1;163.9;0.00;1.7;0.0;0.2;1.6
1992M12;162.2;0.50;1.5;6.1;2.3;1.4;164.9;0.61;2.4;7.6;2.7;2.0
1993M01;164.1;1.17;2.4;15.0;6.9;3.4;167.1;1.33;3.5;17.2;8.0;4.2
1993M02;165.3;0.73;3.1;9.1;10.0;4.9;168.4;0.78;4.1;9.7;11.4;5.7
1993M03;165.4;0.06;3.0;0.7;8.1;5.1;168.6;0.12;3.9;1.4;9.3;5.9
1993M04;165.9;0.30;3.3;3.7;4.5;5.7;169.1;0.30;4.2;3.6;4.9;6.4
1993M05;166.3;0.24;3.6;2.9;2.4;6.2;169.6;0.30;4.3;3.6;2.9;7.1
1993M06;166.2;-0.06;3.2;-0.7;1.9;5.0;169.4;-0.12;3.7;-1.4;1.9;5.5
1993M07;167.7;0.90;3.9;11.4;4.4;4.4;171.2;1.06;4.6;13.5;5.1;5.0
1993M08;169.2;0.89;4.8;11.3;7.2;4.8;172.8;0.93;5.5;11.8;7.8;5.3
1993M09;169.8;0.35;5.3;4.3;8.9;5.4;173.3;0.29;5.8;3.5;9.5;5.7
1993M10;170.8;0.59;5.8;7.3;7.6;6.0;174.7;0.81;6.6;10.1;8.4;6.7
1993M11;170.8;0.00;5.8;0.0;3.8;5.5;174.8;0.06;6.7;0.7;4.7;6.2
1993M12;169.9;-0.53;4.7;-6.1;0.2;4.5;174.2;-0.34;5.6;-4.0;2.1;5.7
1994M01;169.3;-0.35;3.2;-4.2;-3.5;1.9;173.5;-0.40;3.8;-4.7;-2.7;2.7
1994M02;169.5;0.12;2.5;1.4;-3.0;0.4;173.7;0.12;3.1;1.4;-2.5;1.0
1994M03;169.7;0.12;2.6;1.4;-0.5;-0.1;173.9;0.12;3.1;1.4;-0.7;0.7
1994M04;169.9;0.12;2.4;1.4;1.4;-1.1;174.1;0.12;3.0;1.4;1.4;-0.7
1994M05;169.9;0.00;2.2;0.0;0.9;-1.1;173.7;-0.23;2.4;-2.7;0.0;-1.3
1994M06;170.1;0.12;2.3;1.4;0.9;0.2;173.9;0.12;2.7;1.4;0.0;-0.3
1994M07;170.4;0.18;1.6;2.1;1.2;1.3;174.2;0.17;1.8;2.1;0.2;0.8
1994M08;170.5;0.06;0.8;0.7;1.4;1.2;174.4;0.11;0.9;1.4;1.6;0.8
1994M09;171.0;0.29;0.7;3.6;2.1;1.5;175.1;0.40;1.0;4.9;2.8;1.4
1994M10;170.8;-0.12;0.0;-1.4;0.9;1.1;174.7;-0.23;0.0;-2.7;1.2;0.7
1994M11;170.7;-0.06;-0.1;-0.7;0.5;0.9;174.5;-0.11;-0.2;-1.4;0.2;0.9
1994M12;170.8;0.06;0.5;0.7;-0.5;0.8;174.4;-0.06;0.1;-0.7;-1.6;0.6
1995M01;172.1;0.76;1.7;9.5;3.1;2.0;175.3;0.52;1.0;6.4;1.4;1.3
1995M02;172.3;0.12;1.7;1.4;3.8;2.1;175.6;0.17;1.1;2.1;2.5;1.4
1995M03;172.0;-0.17;1.4;-2.1;2.8;1.2;175.2;-0.23;0.7;-2.7;1.8;0.1
1995M04;171.8;-0.12;1.1;-1.4;-0.7;1.2;175.3;0.06;0.7;0.7;0.0;0.7
1995M05;172.1;0.17;1.3;2.1;-0.5;1.6;175.7;0.23;1.2;2.8;0.2;1.4
1995M06;172.3;0.12;1.3;1.4;0.7;1.8;175.9;0.11;1.2;1.4;1.6;1.7
1995M07;172.8;0.29;1.4;3.5;2.3;0.8;176.5;0.34;1.3;4.2;2.8;1.4
1995M08;173.5;0.41;1.8;5.0;3.3;1.4;177.3;0.45;1.7;5.6;3.7;1.9
1995M09;174.1;0.35;1.8;4.2;4.2;2.5;178.0;0.39;1.7;4.8;4.9;3.2
1995M10;174.9;0.46;2.4;5.7;5.0;3.6;179.0;0.56;2.5;7.0;5.8;4.3
1995M11;174.3;-0.34;2.1;-4.0;1.9;2.6;178.2;-0.45;2.1;-5.2;2.0;2.9
1995M12;174.2;-0.06;2.0;-0.7;0.2;2.2;178.2;0.00;2.2;0.0;0.5;2.6
1996M01;174.9;0.40;1.6;4.9;0.0;2.4;179.1;0.51;2.2;6.2;0.2;3.0
1996M02;175.2;0.17;1.7;2.1;2.1;2.0;179.7;0.34;2.3;4.1;3.4;2.7
1996M03;175.5;0.17;2.0;2.1;3.0;1.6;180.1;0.22;2.8;2.7;4.3;2.4
1996M04;175.8;0.17;2.3;2.1;2.1;1.0;180.3;0.11;2.9;1.3;2.7;1.5
1996M05;176.9;0.63;2.8;7.8;3.9;3.0;181.5;0.67;3.3;8.3;4.1;3.7
1996M06;176.7;-0.11;2.6;-1.3;2.8;2.9;181.3;-0.11;3.1;-1.3;2.7;3.5
1996M07;176.9;0.11;2.4;1.4;2.5;2.3;181.6;0.17;2.9;2.0;2.9;2.8
1996M08;178.0;0.62;2.6;7.7;2.5;3.2;182.6;0.55;3.0;6.8;2.4;3.3
1996M09;178.4;0.22;2.5;2.7;3.9;3.3;182.7;0.05;2.6;0.7;3.1;2.9
1996M10;178.5;0.06;2.1;0.7;3.7;3.1;182.8;0.05;2.1;0.7;2.7;2.8
1996M11;178.6;0.06;2.5;0.7;1.4;1.9;182.8;0.00;2.6;0.0;0.4;1.4
1996M12;177.8;-0.45;2.1;-5.2;-1.3;1.2;182.1;-0.38;2.2;-4.5;-1.3;0.9
1997M01;178.4;0.34;2.0;4.1;-0.2;1.7;182.5;0.22;1.9;2.7;-0.7;1.0
1997M02;178.5;0.06;1.9;0.7;-0.2;0.6;182.7;0.11;1.7;1.3;-0.2;0.1
1997M03;178.4;-0.06;1.7;-0.7;1.4;0.0;182.7;0.00;1.4;0.0;1.3;0.0
1997M04;179.7;0.73;2.2;9.1;2.9;1.3;184.1;0.77;2.1;9.6;3.6;1.4
1997M05;179.4;-0.17;1.4;-2.0;2.0;0.9;183.7;-0.22;1.2;-2.6;2.2;1.0
1997M06;179.8;0.22;1.8;2.7;3.2;2.3;183.9;0.11;1.4;1.3;2.7;2.0
1997M07;180.1;0.17;1.8;2.0;0.9;1.9;184.2;0.16;1.4;2.0;0.2;1.9
1997M08;180.6;0.28;1.5;3.4;2.7;2.4;184.7;0.27;1.2;3.3;2.2;2.2
1997M09;181.3;0.39;1.6;4.8;3.4;3.3;185.5;0.43;1.5;5.3;3.5;3.1
1997M10;181.9;0.33;1.9;4.0;4.1;2.5;186.3;0.43;1.9;5.3;4.6;2.4
1997M11;181.7;-0.11;1.7;-1.3;2.5;2.6;186.0;-0.16;1.8;-1.9;2.8;2.5
1997M12;181.4;-0.17;2.0;-2.0;0.2;1.8;185.8;-0.11;2.0;-1.3;0.6;2.1
1998M01;182.4;0.55;2.2;6.8;1.1;2.6;186.3;0.27;2.1;3.3;0.0;2.3
1998M02;182.0;-0.22;2.0;-2.6;0.7;1.6;186.0;-0.16;1.8;-1.9;0.0;1.4
1998M03;182.7;0.38;2.4;4.7;2.9;1.6;186.6;0.32;2.1;3.9;1.7;1.2
1998M04;183.1;0.22;1.9;2.7;1.5;1.3;186.5;-0.05;1.3;-0.6;0.4;0.2
1998M05;183.7;0.33;2.4;4.0;3.8;2.2;187.2;0.38;1.9;4.6;2.6;1.3
1998M06;184.0;0.16;2.3;2.0;2.9;2.9;187.5;0.16;2.0;1.9;1.9;1.8
1998M07;183.6;-0.22;1.9;-2.6;1.1;1.3;186.8;-0.37;1.4;-4.4;0.6;0.5
1998M08;182.6;-0.54;1.1;-6.3;-2.4;0.7;185.6;-0.64;0.5;-7.4;-3.4;-0.4
1998M09;182.8;0.11;0.8;1.3;-2.6;0.1;185.8;0.11;0.2;1.3;-3.6;-0.9
1998M10;183.6;0.44;0.9;5.4;0.0;0.5;186.5;0.38;0.1;4.6;-0.6;0.0
1998M11;184.1;0.27;1.3;3.3;3.3;0.4;187.0;0.27;0.5;3.3;3.1;-0.2
1998M12;183.7;-0.22;1.3;-2.6;2.0;-0.3;186.4;-0.32;0.3;-3.8;1.3;-1.2
1999M01;184.8;0.60;1.3;7.4;2.6;1.3;187.3;0.48;0.5;6.0;1.7;0.5
1999M02;184.5;-0.16;1.4;-1.9;0.9;2.1;187.0;-0.16;0.5;-1.9;0.0;1.5
1999M03;185.4;0.49;1.5;6.0;3.8;2.9;187.8;0.43;0.6;5.3;3.0;2.2
1999M04;186.4;0.54;1.8;6.7;3.5;3.1;188.3;0.27;1.0;3.2;2.2;1.9
1999M05;187.3;0.48;2.0;6.0;6.2;3.5;189.5;0.64;1.2;7.9;5.5;2.7
1999M06;188.8;0.80;2.6;10.0;7.5;5.6;190.6;0.58;1.7;7.2;6.1;4.6
1999M07;189.5;0.37;3.2;4.5;6.8;5.2;191.0;0.21;2.2;2.5;5.9;4.0
1999M08;190.2;0.37;4.2;4.5;6.3;6.3;191.6;0.31;3.2;3.8;4.5;5.0
1999M09;191.8;0.84;4.9;10.6;6.5;7.0;192.8;0.63;3.8;7.8;4.7;5.4
1999M10;193.3;0.78;5.3;9.8;8.3;7.5;194.1;0.67;4.1;8.4;6.7;6.3
1999M11;193.3;0.00;5.0;0.0;6.7;6.5;194.1;0.00;3.8;0.0;5.3;4.9
1999M12;194.0;0.36;5.6;4.4;4.7;5.6;194.5;0.21;4.3;2.5;3.6;4.1
2000M01;195.5;0.77;5.8;9.7;4.6;6.4;195.4;0.46;4.3;5.7;2.7;4.7
2000M02;194.9;-0.31;5.6;-3.6;3.4;5.0;194.7;-0.36;4.1;-4.2;1.2;3.3
2000M03;196.4;0.77;5.9;9.6;5.0;4.9;195.7;0.51;4.2;6.3;2.5;3.0
2000M04;197.6;0.61;6.0;7.6;4.4;4.5;196.7;0.51;4.5;6.3;2.7;2.7
2000M05;198.4;0.40;5.9;5.0;7.4;5.3;197.1;0.20;4.0;2.5;5.0;3.1
2000M06;199.1;0.35;5.5;4.3;5.6;5.3;197.7;0.30;3.7;3.7;4.2;3.3
2000M07;200.1;0.50;5.6;6.2;5.2;4.8;198.9;0.61;4.1;7.5;4.5;3.6
2000M08;199.1;-0.50;4.7;-5.8;1.4;4.4;197.6;-0.65;3.1;-7.6;1.0;3.0
2000M09;199.5;0.20;4.0;2.4;0.8;3.2;197.9;0.15;2.6;1.8;0.4;2.3
2000M10;201.5;1.00;4.2;12.7;2.8;4.0;200.1;1.11;3.1;14.2;2.4;3.5
2000M11;202.1;0.30;4.6;3.6;6.2;3.8;200.5;0.20;3.3;2.4;6.0;3.5
2000M12;202.1;0.00;4.2;0.0;5.3;3.0;200.3;-0.10;3.0;-1.2;4.9;2.6
2001M01;202.4;0.15;3.5;1.8;1.8;2.3;201.0;0.35;2.9;4.3;1.8;2.1
2001M02;202.8;0.20;4.1;2.4;1.4;3.8;201.1;0.05;3.3;0.6;1.2;3.6
2001M03;204.0;0.59;3.9;7.3;3.8;4.6;202.5;0.70;3.5;8.7;4.5;4.7
2001M04;206.5;1.23;4.5;15.7;8.4;5.0;205.0;1.23;4.2;15.9;8.2;5.0
2001M05;209.4;1.40;5.5;18.2;13.7;7.4;208.0;1.46;5.5;19.0;14.4;7.6
2001M06;212.6;1.53;6.8;20.0;18.0;10.7;211.7;1.78;7.1;23.6;19.4;11.7
2001M07;214.2;0.75;7.0;9.4;15.8;12.0;213.5;0.85;7.3;10.7;17.6;12.8
2001M08;214.9;0.33;7.9;4.0;10.9;12.3;214.1;0.28;8.4;3.4;12.3;13.3
2001M09;216.3;0.65;8.4;8.1;7.1;12.4;215.7;0.75;9.0;9.3;7.8;13.5
2001M10;217.7;0.65;8.0;8.0;6.7;11.1;217.3;0.74;8.6;9.3;7.3;12.4
2001M11;218.5;0.37;8.1;4.5;6.9;8.9;218.1;0.37;8.8;4.5;7.7;9.9
2001M12;219.5;0.46;8.6;5.6;6.1;6.6;219.1;0.46;9.4;5.6;6.5;7.1
2002M01;221.5;0.91;9.4;11.5;7.2;6.9;221.0;0.87;10.0;10.9;7.0;7.1
2002M02;220.9;-0.27;8.9;-3.2;4.5;5.7;220.2;-0.36;9.5;-4.3;3.9;5.8
2002M03;221.8;0.41;8.7;5.0;4.3;5.2;221.2;0.45;9.2;5.6;3.9;5.2
2002M04;221.9;0.05;7.5;0.5;0.7;3.9;220.8;-0.18;7.7;-2.1;-0.4;3.2
2002M05;221.8;-0.05;5.9;-0.5;1.6;3.0;220.7;-0.05;6.1;-0.5;0.9;2.4
2002M06;222.8;0.45;4.8;5.5;1.8;3.0;221.8;0.50;4.8;6.1;1.1;2.5
2002M07;223.0;0.09;4.1;1.1;2.0;1.4;221.8;0.00;3.9;0.0;1.8;0.7
2002M08;221.8;-0.54;3.2;-6.3;0.0;0.8;220.2;-0.72;2.8;-8.3;-0.9;0.0
2002M09;222.9;0.50;3.1;6.1;0.2;1.0;221.1;0.41;2.5;5.0;-1.3;-0.1
2002M10;224.1;0.54;2.9;6.7;2.0;2.0;222.4;0.59;2.3;7.3;1.1;1.5
2002M11;223.7;-0.18;2.4;-2.1;3.5;1.7;221.7;-0.31;1.7;-3.7;2.8;0.9
2002M12;223.9;0.09;2.0;1.1;1.8;1.0;221.4;-0.14;1.0;-1.6;0.5;-0.4
2003M01;224.7;0.36;1.4;4.4;1.1;1.5;221.7;0.14;0.3;1.6;-1.3;-0.1
2003M02;224.3;-0.18;1.5;-2.1;1.1;2.3;220.9;-0.36;0.3;-4.2;-1.4;0.6
2003M03;226.7;1.07;2.2;13.6;5.1;3.4;223.3;1.09;0.9;13.8;3.5;2.0
2003M04;227.0;0.13;2.3;1.6;4.2;2.6;223.3;0.00;1.1;0.0;2.9;0.8
2003M05;226.6;-0.18;2.2;-2.1;4.2;2.6;222.6;-0.31;0.9;-3.7;3.1;0.8
2003M06;226.8;0.09;1.8;1.1;0.2;2.6;222.6;0.00;0.4;0.0;-1.2;1.1
2003M07;226.5;-0.13;1.6;-1.6;-0.9;1.6;221.8;-0.36;0.0;-4.2;-2.7;0.1
2003M08;226.3;-0.09;2.0;-1.1;-0.5;1.8;221.0;-0.36;0.4;-4.2;-2.8;0.1
2003M09;227.9;0.71;2.2;8.8;2.0;1.1;222.7;0.77;0.7;9.6;0.2;-0.5
2003M10;229.0;0.48;2.2;5.9;4.5;1.8;223.7;0.45;0.6;5.5;3.5;0.4
2003M11;229.3;0.13;2.5;1.6;5.4;2.4;224.1;0.18;1.1;2.2;5.7;1.4
2003M12;230.0;0.31;2.7;3.7;3.7;2.8;224.7;0.27;1.5;3.3;3.6;1.9
2004M01;230.1;0.04;2.4;0.5;1.9;3.2;224.5;-0.09;1.3;-1.1;1.4;2.4
2004M02;229.4;-0.30;2.3;-3.6;0.2;2.8;223.5;-0.45;1.2;-5.2;-1.1;2.3
2004M03;230.7;0.57;1.8;7.0;1.2;2.5;224.9;0.63;0.7;7.8;0.4;2.0
2004M04;232.0;0.56;2.2;7.0;3.3;2.6;225.9;0.44;1.2;5.5;2.5;2.0
2004M05;233.9;0.82;3.2;10.3;8.1;4.1;227.4;0.66;2.2;8.3;7.2;3.0
2004M06;235.7;0.77;3.9;9.6;9.0;5.0;228.7;0.57;2.7;7.1;6.9;3.6
2004M07;234.6;-0.47;3.6;-5.5;4.6;3.9;227.7;-0.44;2.7;-5.1;3.2;2.9
2004M08;234.6;0.00;3.7;0.0;1.2;4.6;227.3;-0.18;2.9;-2.1;-0.2;3.4
2004M09;235.6;0.43;3.4;5.2;-0.2;4.3;228.2;0.40;2.5;4.9;-0.9;3.0
2004M10;237.4;0.76;3.7;9.6;4.9;4.7;229.8;0.70;2.7;8.7;3.7;3.5
2004M11;237.9;0.21;3.8;2.6;5.7;3.4;229.8;0.00;2.5;0.0;4.5;2.1
2004M12;239.0;0.46;3.9;5.7;5.9;2.8;230.5;0.30;2.6;3.7;4.1;1.6
2005M01;239.2;0.08;4.0;1.0;3.1;4.0;229.2;-0.56;2.1;-6.6;-1.0;1.3
2005M02;239.7;0.21;4.5;2.5;3.1;4.4;228.6;-0.26;2.3;-3.1;-2.1;1.1
2005M03;241.5;0.75;4.7;9.4;4.3;5.1;229.4;0.35;2.0;4.3;-1.9;1.1
2005M04;242.0;0.21;4.3;2.5;4.8;3.9;228.3;-0.48;1.1;-5.6;-1.6;-1.3
2005M05;240.7;-0.54;2.9;-6.3;1.7;2.4;227.4;-0.39;0.0;-4.6;-2.1;-2.1
2005M06;242.4;0.71;2.8;8.8;1.5;2.9;228.2;0.35;-0.2;4.3;-2.1;-2.0
2005M07;242.7;0.12;3.5;1.5;1.2;2.9;227.9;-0.13;0.1;-1.6;-0.7;-1.1
2005M08;243.2;0.21;3.7;2.5;4.2;2.9;227.5;-0.18;0.1;-2.1;0.2;-1.0
2005M09;246.9;1.52;4.8;19.9;7.6;4.5;231.4;1.71;1.4;22.6;5.7;1.8
2005M10;248.4;0.61;4.6;7.5;9.7;5.4;232.5;0.48;1.2;5.9;8.3;3.7
